,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
0,South Carlsbad SB,State Parks,,South Carlsbad State Beach
1,Torrey Pines SB,State Parks,,Torrey Pines State Beach
2,Ruocco Park,SDUPD,"585 Harbor Ln, San Diego. California",Ruocco Park
3,Tuna Harbor Park,SDUPD,"700 North Harbor Dr, San Diego. California",Tuna Harbor Park
4,San Diego Bayfront Park,SDUPD,"One Park Boulevard, San Diego. California",San Diego Bayfront Park
5,Pepper Park,SDUPD,"3299 Tidelands Av, National City. California",Pepper Park
6,Ocotillo Wells SVRA,State Parks,,Ocotillo Wells SVRA
7,We-Nelsch CP,State Parks,,We-Nelsch Cultural Preserve
8,Agua Caliente County Park (ABDSP),State Parks,,Agua Caliente County Park
9,Santa Rosa Mountains SW,State Parks,,Santa Rosa Mountains State Wilderness
10,San Pasqual Battlefield SHP,State Parks,,San Pasqual Battlefield State Park
11,Carlsbad SB,State Parks,,Carlsbad State Beach
12,Anza-Borrego Desert SW,State Parks,,Anza-Borrego Desert State Wilderness
13,Coyote Canyon CP,State Parks,,Coyote Canyon Cultural Preserve
14,Los Penasquitos Marsh NP,State Parks,,Los Penasquitos Marsh Nature Nature Preserve
15,Border Field SP,State Parks,,Border Field State Park
16,Cuyamaca Rancho SP,State Parks,,Cuyamaca Rancho State Park
17,Ocotillo Wells SVRA,State Parks,,Ocotillo Wells SVRA
18,Old Town San Diego SHP,State Parks,,Old Town San Diego State Park
19,Palomar Mountain SP,State Parks,,Palomar Mountain State Park
20,San Onofre SB,State Parks,,San Onofre State Beach
21,Torrey Pines SNR,State Parks,,Torrey Pines State Nature Reserve
22,Grand Caribe Shoreline Park,SDUPD,"598 Grand Caribe Cswy, Coronado. California",Grand Caribe Shoreline Park
23,Ah-Ha-Kwe-Ah-Mac/Stonewall Mine CP,State Parks,,Ah-Ha-Kwe-Ah-Mac/Stonewall Mine Cultural Preserve
24,Pilcha (West Mesa) CP,State Parks,,Pilcha (West Mesa) Cultural Preserve
25,Kumeyaay Soapstone CP,State Parks,,Kumeyaay Soapstone Cultural Preserve
26,Cuish-Cuish (East Mesa) CP,State Parks,,Cuish-Cuish (East Mesa) Cultural Preserve
27,Doane Valley NP,State Parks,,Doane Valley Nature Nature Preserve
28,Trestles Wetlands NP,State Parks,,Trestles Wetlands Nature Nature Preserve
29,Shelter Island Shoreline Park (North),SDUPD,"1500 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (North)
30,Coronado Ferry Landing Park,SDUPD,"1 B Av, Coronado. California",Coronado Ferry Landing Park
31,Centennial Park,SDUPD,"1 B Av, Coronado. California",Centennial Park
32,Lane Field Park,SDUPD,"1009 North Harbor Dr, San Diego. California",Lane Field Park
33,Broadway Landing,SDUPD,"1198 West Broadway, San Diego. California",Broadway Landing
34,Harbor Island Park,SDUPD,"1875 Harbor Island Dr, San Diego. California",Harbor Island Park
35,Spanish Landing Park (East),SDUPD,"3900 North Harbor Dr, San Diego. California",Spanish Landing Park (East)
36,Spanish Landing Park (West),SDUPD,"4300 North Harbor Dr, San Diego. California",Spanish Landing Park (West)
37,Spanish Landing Park (West),SDUPD,"4300 North Harbor Dr, San Diego. California",Spanish Landing Park (West)
38,Tuna Harbor Park,SDUPD,"700 North Harbor Dr, San Diego. California",Tuna Harbor Park
39,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
40,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
41,Shelter Island Shoreline Park (Central),SDUPD,"1800 Shelter Island Dr, San Diego. California",Shelter Island Shoreline Park (Central)
42,Chula Vista Bayside Park & Pier,SDUPD,"999 Bayside Pkwy, Chula Vista. California",Chula Vista Bayside Park & Pier
43,MAXTON BROWN PARK,City of Carlsbad,Laguna Dr and State St,Maxton Brown Park
44,OAK PARK,City of Carlsbad,Oak Av and Pio Pico Dr,Oak Park
45,MAGEE PARK,City of Carlsbad,258 Beech Avenue,Magee Park
46,HOLIDAY PARK,City of Carlsbad,Chestnut Ave and Pio Pico Drive,Holiday Park
47,ROTARY PARK,City of Carlsbad,2900 Washington St,Rotary Park
48,PINE PARK,City of Carlsbad,3500 Harding St,Pine Park
49,CHASE FIELD,City of Carlsbad,3400 Harding St,Chase Field
50,LAGUNA RIVERA PARK,City of Carlsbad,Kelly and Park Dr,Laguna Rivera Park
51,ZONE 5 PARK,City of Carlsbad,Faraday Av and Camino Hills Dr,Zone 5 Park
52,Culp Valley CP,State Parks,,Culp Valley Cultural Preserve
53,Angelina Spring CP,State Parks,,Angelina Spring Cultural Preserve
54,Little Blair Valley CP,State Parks,,Little Blair Valley Cultural Preserve
55,Piedras Grandes CP,State Parks,,Piedras Grandes Cultural Preserve
56,Southern Overland Trail CP,State Parks,,Southern Overland Trail Cultural Preserve
57,Barrel Springs CP,State Parks,,Barrel Springs Cultural Preserve
58,Hawi-Vallecito CP,State Parks,,Hawi-Vallecito Cultural Preserve
59,Ellen Browning Scripps NP,State Parks,,Ellen Browning Scripps Nature Nature Preserve
60,Anza-Borrego Desert SP,State Parks,,Anza-Borrego Desert State Park
61,Los Penasquitos Marsh NP,State Parks,,Los Penasquitos Marsh Nature Nature Preserve
62,Navy Pier,SDUPD,"900 North Harbor Dr, San Diego. California",Navy Pier
63,Coronado Tidelands Park,SDUPD,"2000 Mullinix Dr, Coronado. California",Coronado Tidelands Park
64,Dunes Park,SDUPD,"790 Seacoast Dr, Imperial Beach. California",Dunes Park
65,Cesar Chavez Park,SDUPD,"1449 Cesar E. Chavez Pkwy, San Diego. California",Cesar Chavez Park
66,Fifth Avenue Landing Lawn Area,SDUPD,"600 Convention Center Wy, San Diego. California",Fifth Avenue Landing Lawn Area
67,Yacht Club Promenade Pocket Park,SDUPD,"Strand Wy, Coronado. California",Yacht Club Promenade Pocket Park
68,Embarcadero Marina Park North,SDUPD,"400 Kettner Blvd, San Diego. California",Embarcadero Marina Park North
69,Point Loma Marina Park,SDUPD,"2040 Harbor Island Drive, San Diego. California",Point Loma Marina Park
70,Portwood Pier Plaza,SDUPD,"940 Seacoast Dr, Imperial Beach. California",Portwood Pier Plaza
71,Holiday Estates I Park,City of Chula Vista,383 Connoley Cir,Holiday Estates I Park
72,Silver Strand SB,State Parks,,Silver Strand State Beach
73,Moonlight SB,State Parks,,Moonlight State Beach
74,Leucadia SB,State Parks,,Leucadia State Beach
75,Cuyamaca Mountain SW,State Parks,,Cuyamaca Mountain State Wilderness
76,Cuyamaca Meadow NP,State Parks,,Cuyamaca Meadow Nature Preserve
77,SKATE PARK,City of Carlsbad,Safety Center & Orion Wy,Skate Park
78,Gayle L McCandliss Park,City of Chula Vista,415 E J St,Gayle L Mccandliss Park
79,Sunbow Park,City of Chula Vista,500 E Naples St,Sunbow Park
80,Lancerlot Park,City of Chula Vista,750 K St,Lancerlot Park
81,Eucalyptus Park,City of Chula Vista,Fourth Av & C St,Eucalyptus Park
82,Friendship Park,City of Chula Vista,Fourth Av & F St,Friendship Park
83,Norman Park,City of Chula Vista,270 F St,Norman Park
84,Chula Vista Women's Club,City of Chula Vista,390 Garrett Av,Chula Vista Women'S Club
85,Memorial Park,City of Chula Vista,373 Park Wy,Memorial Park
86,Bay Boulevard Park,City of Chula Vista,F St & Bay Bl,Bay Boulevard Park
87,Bayside Park,SDUPD,Bayside Pw,Bayside Park
88,Bayfront Park,SDUPD,800 Marina Pkwy,Bayfront Park
89,Marina View Park,SDUPD,800 Marina Pkwy,Marina View Park
90,Embarcadero Marina Park South,SDUPD,"20 Marina Park Wy, San Diego. California",Embarcadero Marina Park South
91,Coronado Skatepark,SDUPD,"2000 Mullinix Drive, Coronado. California",Coronado Skatepark
